,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Luanda,AO,1622603728,-8.8368,13.2343,77.0,88,75,3.44
1,Geraldton,AU,1622603884,-28.7667,114.6,64.81,59,0,6.71
2,Lensk,RU,1622603885,60.7253,114.9278,78.4,33,99,3.71
3,Kisangani,CD,1622603885,0.5167,25.2,69.84,94,91,2.19
4,Najrān,SA,1622603886,17.4924,44.1277,72.25,19,23,3.62
5,Upernavik,GL,1622603887,72.7868,-56.1549,26.55,92,25,7.14
6,George Town,MY,1622603887,5.4112,100.3354,89.55,72,20,4.0
7,Port Alfred,ZA,1622603889,-33.5906,26.891,58.28,87,48,13.65
8,Rikitea,PF,1622603890,-23.1203,-134.9692,71.35,59,10,20.62
9,Hobart,AU,1622603703,-42.8794,147.3294,60.26,50,0,3.0
10,Ushuaia,AR,1622603891,-54.8,-68.3,29.86,93,90,12.66
11,Arraial do Cabo,BR,1622603891,-22.9661,-42.0278,71.82,81,15,7.34
12,Sirte,LY,1622603893,31.2089,16.5887,71.38,75,100,15.95
13,Yerbogachën,RU,1622603893,61.2767,108.0108,74.1,29,42,7.83
14,Mandera,KE,1622603894,3.9366,41.867,74.14,69,70,10.11
15,Atuona,PF,1622603895,-9.8,-139.0333,79.68,77,20,13.76
16,Meridian,US,1622603841,43.6121,-116.3915,86.32,29,1,3.22
17,Forsytheganj,BY,1622603895,52.6333,29.7333,44.46,83,48,8.34
18,Tuktoyaktuk,CA,1622603896,69.4541,-133.0374,30.2,86,90,14.97
19,Bredasdorp,ZA,1622603897,-34.5322,20.0403,45.72,93,49,3.83
20,Thompson,CA,1622603897,55.7435,-97.8558,60.96,51,75,4.61
21,Mataura,NZ,1622603898,-46.1927,168.8643,49.48,93,87,2.82
22,Faanui,PF,1622603898,-16.4833,-151.75,79.3,73,100,14.54
23,Itoman,JP,1622603899,26.1247,127.6694,84.58,74,75,13.8
24,Busselton,AU,1622603899,-33.65,115.3333,64.04,65,95,3.36
25,Nanortalik,GL,1622603901,60.1432,-45.2371,37.04,87,70,7.52
26,Kapaa,US,1622603902,22.0752,-159.319,85.98,71,1,1.01
27,Roebourne,AU,1622603902,-20.7833,117.1333,74.52,29,96,20.87
28,Punta Arenas,CL,1622603903,-53.15,-70.9167,21.31,86,75,1.68
29,Mahébourg,MU,1622603903,-20.4081,57.7,75.25,83,40,10.36
30,Thinadhoo,MV,1622603717,0.5333,72.9333,83.57,71,100,13.87
31,Butaritari,KI,1622603904,3.0707,172.7902,83.01,80,100,15.35
32,Yellowknife,CA,1622603652,62.456,-114.3525,57.33,82,51,4.99
33,Albany,US,1622603906,42.6001,-73.9662,59.45,79,97,2.73
34,Norman Wells,CA,1622603906,65.282,-126.8329,51.84,71,75,9.22
35,Mayo,US,1622603907,38.8876,-76.5119,68.25,83,1,1.01
36,Lüderitz,NA,1622603907,-26.6481,15.1594,59.85,42,0,7.58
37,New Norfolk,AU,1622603909,-42.7826,147.0587,59.92,40,99,4.56
38,Cape Town,ZA,1622603887,-33.9258,18.4232,56.1,91,0,1.99
39,‘Ewa Beach,US,1622603910,21.3156,-158.0072,87.75,57,90,8.05
40,Bull Savanna,JM,1622603910,17.8868,-77.5902,75.09,84,40,7.18
41,Ilulissat,GL,1622603911,69.2167,-51.1,33.82,80,50,0.0
42,Garissa,KE,1622603912,-0.4536,39.6401,71.67,85,62,12.59
43,Pochutla,MX,1622603913,15.7432,-96.4661,81.45,86,72,3.49
44,Swift Current,CA,1622603914,50.2834,-107.8014,72.41,33,1,2.3
45,Puerto Ayora,EC,1622603914,-0.7393,-90.3518,73.54,92,76,5.01
46,Cherskiy,RU,1622603915,68.75,161.3,67.84,23,7,2.28
47,Gamba,GA,1622603915,-2.65,10.0,76.3,81,100,2.62
48,Mar del Plata,AR,1622603917,-38.0023,-57.5575,55.42,52,40,5.99
49,Vaini,TO,1622603919,-21.2,-175.2,73.56,83,90,4.61
50,Mossamedes,AO,1622603920,-15.1961,12.1522,67.66,88,95,3.6
51,Ozinki,RU,1622603921,51.1786,49.6769,60.69,91,84,12.8
52,Katsuura,JP,1622603921,35.1333,140.3,80.24,70,100,9.84
53,Zhob,PK,1622603922,31.3411,69.4481,78.51,36,0,1.74
54,Praia,CV,1622603879,14.9215,-23.5087,73.94,73,75,6.91
55,Cayenne,GF,1622603923,4.9333,-52.3333,77.09,90,75,4.76
56,Jumla,NP,1622603924,29.2747,82.1838,64.54,58,5,3.36
57,Jamestown,US,1622603904,42.097,-79.2353,60.44,64,1,4.61
58,Matagami,CA,1622603925,49.7502,-77.6328,53.71,82,90,3.62
59,Nome,US,1622603752,64.5011,-165.4064,51.87,32,1,16.11
60,Abnūb,EG,1622603926,27.2696,31.1511,78.78,33,0,15.84
61,Opuwo,NA,1622603927,-18.0607,13.84,56.8,31,99,5.82
62,Orlik,RU,1622603928,52.5178,99.825,56.86,42,7,2.24
63,Hilo,US,1622603639,19.7297,-155.09,80.33,73,1,10.36
64,Chokurdakh,RU,1622603928,70.6333,147.9167,71.69,21,10,7.4
65,Beni Mazar,EG,1622603929,28.4962,30.8029,72.1,52,0,16.26
66,Bluff,NZ,1622603930,-46.6,168.3333,49.8,79,40,18.79
67,Barrow,US,1622603930,71.2906,-156.7887,30.22,69,90,14.97
68,Qaanaaq,GL,1622603931,77.484,-69.3632,24.55,91,92,0.43
69,Hastings,GB,1622603932,50.8552,0.5729,58.24,75,71,10.38
70,Praia da Vitória,PT,1622603932,38.7333,-27.0667,59.25,67,40,10.78
71,Bereket,TM,1622603933,39.2446,55.5154,85.5,29,0,3.27
72,Yangi Marg`ilon,UZ,1622603933,40.4272,71.7189,79.52,34,0,6.91
73,Hithadhoo,MV,1622603934,-0.6,73.0833,83.62,67,100,15.35
74,Richards Bay,ZA,1622603935,-28.783,32.0377,60.37,69,98,15.01
75,Vestmannaeyjar,IS,1622603936,63.4427,-20.2734,45.36,81,100,16.64
76,Angarsk,RU,1622603780,52.5367,103.8864,56.12,57,18,5.3
77,Karema,TZ,1622603936,-6.8205,30.4389,69.21,66,82,9.84
78,Grindavik,IS,1622603937,63.8424,-22.4338,42.91,93,75,20.71
79,East London,ZA,1622603937,-33.0153,27.9116,58.14,88,20,13.8
80,Qaqortoq,GL,1622603938,60.7167,-46.0333,39.7,83,33,3.6
81,Itarema,BR,1622603938,-2.9248,-39.9167,76.39,86,5,8.46
82,Lebu,CL,1622603939,-37.6167,-73.65,53.17,92,99,6.06
83,Ugoofaaru,MV,1622603940,5.6667,73.0,83.03,65,40,13.04
84,Buraidah,SA,1622603940,26.326,43.975,81.05,13,0,2.13
85,Igarka,RU,1622603941,67.4667,86.5833,43.07,75,99,18.07
86,Walvis Bay,NA,1622603941,-22.9575,14.5053,52.75,66,1,5.82
87,Port Macquarie,AU,1622603942,-31.4333,152.9167,68.9,48,100,3.0
88,Dzilam González,MX,1622603942,21.2833,-88.9333,79.16,73,10,8.63
89,Nikolskoye,RU,1622603943,59.7035,30.7861,49.39,68,3,2.66
90,Severomuysk,RU,1622603943,56.1481,113.4267,53.29,52,92,7.45
91,Benghazi,LY,1622603944,32.1167,20.0667,69.78,62,42,9.42
92,Tessalit,ML,1622603944,20.1986,1.0114,91.13,7,0,6.38
93,Wawa,NG,1622603945,9.9022,4.4192,78.46,74,94,7.2
94,Sola,VU,1622603945,-13.8833,167.55,79.47,78,90,0.0
95,Yumen,CN,1622603946,40.2833,97.2,66.96,7,48,17.87
96,Noumea,NC,1622603947,-22.2763,166.4572,73.38,58,50,11.92
97,Saskylakh,RU,1622603947,71.9167,114.0833,56.26,66,100,20.98
98,Shimoda,JP,1622603949,34.6667,138.95,75.56,76,100,4.56
99,Sergeevka,KZ,1622603949,53.88,67.4158,59.74,52,5,8.01
100,Port Elizabeth,ZA,1622603950,-33.918,25.5701,57.49,88,0,11.5
101,Preobrazheniye,RU,1622603951,42.9019,133.9064,61.45,74,79,10.6
102,Vila Velha,BR,1622603952,-20.3297,-40.2925,73.35,91,75,1.01
103,Dikson,RU,1622603953,73.5069,80.5464,34.34,90,100,13.76
104,Paratinga,BR,1622603953,-12.6906,-43.1842,71.02,45,24,1.95
105,Stykkisholmur,IS,1622603954,65.0757,-22.7297,42.87,78,96,13.87
106,Northam,GB,1622603955,51.0333,-4.2167,63.48,79,96,10.83
107,Narodychi,UA,1622603955,51.2029,29.0823,45.45,86,100,8.46
108,Sørland,NO,1622603956,67.667,12.6934,50.61,75,17,5.91
109,Fortuna,US,1622603956,40.5982,-124.1573,57.9,88,90,1.01
110,Lorengau,PG,1622603957,-2.0226,147.2712,84.47,68,51,8.16
111,Necochea,AR,1622603958,-38.5473,-58.7368,52.77,74,58,12.95
112,Tasiilaq,GL,1622603959,65.6145,-37.6368,32.16,81,18,5.84
113,Aklavik,CA,1622603959,68.2191,-135.0107,32.83,100,100,6.58
114,Kaitangata,NZ,1622603960,-46.2817,169.8464,55.92,67,79,6.2
115,Esperance,AU,1622603960,-33.8667,121.9,62.44,73,100,11.56
116,Torrelavega,ES,1622603961,43.3494,-4.0479,62.26,93,6,1.99
117,Bambous Virieux,MU,1622603962,-20.3428,57.7575,76.21,83,40,14.12
118,Rosário do Sul,BR,1622603962,-30.2583,-54.9142,56.73,72,100,2.1
119,Whitehorse,CA,1622603743,60.7161,-135.0538,63.01,31,75,8.99
120,Tafresh,IR,1622603963,34.692,50.013,70.45,20,0,4.29
121,Padang,ID,1622603963,-0.9492,100.3543,86.05,67,52,3.36
122,Yangambi,CD,1622603964,0.8102,24.4336,69.8,89,64,1.92
123,Provideniya,RU,1622603964,64.3833,-173.3,41.11,60,40,13.42
124,Lewistown,US,1622603965,40.5992,-77.5714,66.09,77,1,0.0
125,Georgiyevka,KZ,1622603966,43.0369,74.7114,80.64,36,0,10.96
126,Hervey Bay,AU,1622603967,-25.2986,152.8535,77.04,60,23,4.0
127,Hong Kong,HK,1622603927,22.2855,114.1577,88.32,85,100,1.01
128,Qūchān,IR,1622603969,37.106,58.5095,76.03,35,5,6.4
129,Japura,ID,1622603970,-0.3167,102.35,87.8,64,50,4.63
130,Iqaluit,CA,1622603970,63.7506,-68.5145,31.73,100,90,5.01
131,Souillac,MU,1622603971,-20.5167,57.5167,76.35,83,40,13.51
132,Carnarvon,AU,1622603825,-24.8667,113.6333,64.47,68,85,13.8
133,Defiance,US,1622603753,41.3334,-84.45,67.06,72,1,0.0
134,Tarauacá,BR,1622603972,-8.1614,-70.7656,76.5,83,100,2.13
135,Christchurch,NZ,1622603705,-43.5333,172.6333,57.4,73,52,1.99
136,Kuching,MY,1622603973,1.55,110.3333,88.02,74,20,2.3
137,Vardø,NO,1622603974,70.3705,31.1107,50.2,92,93,9.69
138,Nekā,IR,1622603974,36.6508,53.299,69.31,83,0,4.61
139,Kon Tum,VN,1622603975,14.35,108.0,84.22,69,100,2.44
140,Yaan,NG,1622603975,7.3833,8.5667,74.16,86,97,6.15
141,Riyadh,SA,1622603809,24.6877,46.7219,84.34,20,0,4.61
142,Beringovskiy,RU,1622603976,63.05,179.3167,32.94,77,15,10.71
143,Saint-Philippe,RE,1622603976,-21.3585,55.7679,72.95,84,60,13.87
144,Caravelas,BR,1622603978,-17.7125,-39.2481,71.37,86,78,2.59
145,Pokhara,NP,1622603978,28.2333,83.9833,79.75,61,1,3.27
146,Puri,IN,1622603979,19.8,85.85,82.92,79,17,14.09
147,Antofagasta,CL,1622603784,-23.65,-70.4,58.28,87,7,1.81
148,Lourdes,FR,1622603980,43.1,-0.05,58.48,94,90,4.61
149,Santa Cruz de la Sierra,BO,1622603980,-17.8,-63.1667,69.26,88,40,10.92
150,Kaeo,NZ,1622603981,-35.1,173.7833,63.32,71,56,8.1
151,Lavrentiya,RU,1622603981,65.5833,-171.0,34.25,66,23,19.37
152,Buala,SB,1622603982,-8.145,159.5921,84.83,75,85,8.16
153,Ponta do Sol,PT,1622603982,32.6667,-17.1,66.0,79,100,3.13
154,Oistins,BB,1622603859,13.0667,-59.5333,78.89,65,40,13.8
155,Laguna,US,1622603983,38.421,-121.4238,96.62,37,1,4.0
156,San Juan,AR,1622603963,-31.5375,-68.5364,71.73,43,73,6.6
157,Samarai,PG,1622603984,-10.6167,150.6667,79.18,73,95,13.91
158,Vila Franca do Campo,PT,1622603985,37.7167,-25.4333,57.61,70,93,8.19
159,Cabo San Lucas,MX,1622603957,22.8909,-109.9124,84.61,56,82,13.02
160,Gondanglegi,ID,1622603986,-7.7479,112.0132,84.9,70,30,3.09
161,Severo-Kuril'sk,RU,1622603986,50.6789,156.125,42.17,84,80,5.66
162,Te Anau,NZ,1622603987,-45.4167,167.7167,50.05,90,96,4.92
163,Castro,BR,1622603987,-24.7911,-50.0119,51.91,93,0,3.24
164,Victor Harbor,AU,1622603988,-35.5667,138.6167,71.19,73,45,8.97
165,Hermanus,ZA,1622603988,-34.4187,19.2345,53.91,77,5,3.38
166,Avarua,CK,1622603836,-21.2078,-159.775,78.85,61,20,5.75
167,Srandakan,ID,1622603989,-7.9386,110.2506,70.74,69,27,4.23
168,Neiafu,TO,1622603990,-18.65,-173.9833,77.68,83,75,5.75
169,La Ronge,CA,1622603990,55.1001,-105.2842,70.05,43,75,6.91
170,Bethel,US,1622603991,41.3712,-73.414,63.66,77,100,3.6
171,Obo,CF,1622603991,5.3998,26.4869,66.85,99,100,3.74
172,Khatanga,RU,1622603992,71.9667,102.5,34.25,94,100,19.33
173,Pevek,RU,1622603992,69.7008,170.3133,37.47,72,5,5.86
174,Lagoa,PT,1622603993,39.05,-27.9833,58.77,67,97,12.5
175,Libreville,GA,1622603994,0.3925,9.4537,78.82,89,40,5.75
176,Egvekinot,RU,1622603995,66.3167,-179.1667,34.92,57,5,1.81
177,Port Moresby,PG,1622603996,-9.4431,147.1797,84.42,65,50,11.16
178,Lechinkay,RU,1622603996,43.5647,43.4328,62.22,77,75,5.06
179,Atbasar,KZ,1622603997,51.8,68.3333,65.08,60,50,15.1
180,Sainte-Rose,GP,1622603997,16.3324,-61.6979,77.04,78,0,11.48
181,Husavik,IS,1622603998,66.0449,-17.3389,44.51,71,2,13.47
182,Saldanha,ZA,1622603998,-33.0117,17.9442,56.25,84,0,7.18
183,Beloha,MG,1622603999,-25.1667,45.05,68.0,82,89,19.84
184,Wajid,SO,1622603999,3.8093,43.2471,70.72,85,97,11.72
185,Flin Flon,CA,1622604000,54.7682,-101.865,59.38,82,100,6.26
186,Paamiut,GL,1622604000,61.994,-49.6678,36.75,84,24,0.96
187,Marzuq,YE,1622604001,14.4,46.4667,75.67,59,7,4.54
188,Ribeira Grande,PT,1622604001,38.5167,-28.7,60.06,69,89,11.16
189,Xiongyue,CN,1622604004,40.1774,122.1228,69.82,75,100,16.26
190,Portland,US,1622603454,45.5234,-122.6762,90.19,44,1,1.99
191,Fairbanks,US,1622603909,64.8378,-147.7164,64.09,60,75,13.8
192,Pingliang,CN,1622604006,35.5392,106.6861,76.3,24,100,10.38
193,Pisco,PE,1622604007,-13.7,-76.2167,62.65,82,75,4.61
194,Viçosa,BR,1622604007,-20.7539,-42.8819,59.18,92,67,1.79
195,Vaitape,PF,1622604008,-16.5167,-151.75,79.3,73,100,14.43
196,Haines Junction,CA,1622604009,60.7522,-137.5108,57.15,41,38,12.66
197,San Quintín,MX,1622604010,30.4833,-115.95,61.05,84,0,10.74
198,Baião,BR,1622604011,-2.7906,-49.6717,76.26,84,87,2.8
199,Saint-Augustin,CA,1622604011,51.226,-58.6502,50.86,88,64,7.14
200,Aripuanã,BR,1622604013,-9.1667,-60.6333,72.0,71,25,1.57
201,Sitka,US,1622603782,57.0531,-135.33,53.49,82,90,0.0
202,Klaksvík,FO,1622604014,62.2266,-6.589,47.32,88,85,11.27
203,Dunedin,NZ,1622604015,-45.8742,170.5036,58.8,53,47,1.99
204,Chui,UY,1622604015,-33.6971,-53.4616,55.81,80,100,8.46
205,Yar-Sale,RU,1622604017,66.8333,70.8333,37.2,63,69,17.94
206,Codrington,AU,1622604018,-38.2667,141.9667,62.73,51,97,7.9
207,Jämsä,FI,1622604018,61.8642,25.19,51.35,76,42,2.71
208,Tuatapere,NZ,1622604020,-46.1333,167.6833,49.82,81,88,2.75
209,Loukhi,RU,1622604021,66.0764,33.0381,53.67,59,21,8.21
210,Partizanskoye,RU,1622604021,55.5006,94.39,65.59,47,63,3.76
211,Tūkrah,LY,1622604022,32.5341,20.5791,66.09,72,40,9.69
212,Okhotsk,RU,1622604022,59.3833,143.3,40.82,89,100,3.51
213,Mount Gambier,AU,1622604023,-37.8333,140.7667,64.31,55,90,13.8
214,Vanavara,RU,1622604025,60.34,102.2797,71.92,31,5,7.81
215,Ocean City,US,1622604025,39.2776,-74.5746,63.3,82,100,5.01
216,Taksimo,RU,1622604026,56.3444,114.8794,65.8,44,99,9.57
217,Esmeralda,CU,1622604026,21.8525,-78.1169,74.44,92,100,3.4
218,Saint George,US,1622604027,37.1041,-113.5841,91.99,9,1,0.0
219,Chato,TZ,1622604028,-2.6378,31.7669,64.56,72,78,4.74
220,Morón,AR,1622604029,-34.6534,-58.6198,57.78,80,100,9.19
221,Kitgum,UG,1622604029,3.2783,32.8867,64.44,87,90,4.38
222,Cidreira,BR,1622604030,-30.1811,-50.2056,58.69,75,100,5.97
223,Usinsk,RU,1622604030,65.9939,57.5281,33.75,96,100,25.55
224,Vanimo,PG,1622604032,-2.6741,141.3028,78.17,88,100,7.27
225,Bow Island,CA,1622604032,49.8668,-111.3684,78.82,29,100,3.44
226,Clyde River,CA,1622604033,70.4692,-68.5914,26.83,93,90,2.3
227,Chara,RU,1622604034,56.9064,118.2631,59.77,53,100,4.21
228,Saint Paul Harbor,US,1622603864,57.79,-152.4072,47.71,81,90,12.66
229,Chicama,PE,1622604034,-7.8447,-79.1469,66.07,85,77,5.23
230,Kruisfontein,ZA,1622604035,-34.0033,24.7314,54.88,79,67,8.77
231,High Level,CA,1622604035,58.5169,-117.136,77.11,31,75,2.89
232,Sampit,ID,1622604036,-2.5333,112.95,88.43,59,100,3.49
233,Fernie,CA,1622604036,49.5,-115.0687,79.77,59,13,1.07
234,Broken Hill,AU,1622604038,-31.95,141.4333,58.71,88,40,13.8
235,Inuvik,CA,1622604039,68.3499,-133.7218,32.86,69,90,11.5
236,Kidal,ML,1622603840,18.4411,1.4078,89.69,9,37,3.87
237,Shakhtinsk,KZ,1622604040,49.71,72.5872,75.76,49,100,7.85
238,Pangnirtung,CA,1622604040,66.1451,-65.7125,33.69,99,100,2.13
239,Dumka,IN,1622604041,24.2667,87.25,92.03,55,41,6.53
240,San Fernando del Valle de Catamarca,AR,1622604041,-28.4696,-65.7852,59.77,68,33,1.01
241,Amahai,ID,1622604042,-3.3333,128.9167,82.69,76,97,6.44
242,Talnakh,RU,1622604042,69.4865,88.3972,34.25,90,100,15.73
243,Kloulklubed,PW,1622604043,7.0419,134.2556,88.3,72,36,8.01
244,Khanbari,NP,1622604044,27.3747,87.2039,77.56,73,13,2.91
245,Tazovsky,RU,1622604044,67.4667,78.7,38.34,51,60,9.66
246,Chāndor,IN,1622604045,20.3333,74.25,78.44,57,51,2.64
247,Ayna,PE,1622604046,-12.65,-73.9167,60.98,84,88,0.47
248,Pacific Grove,US,1622604046,36.6177,-121.9166,71.26,87,90,3.0
249,Pauini,BR,1622604047,-7.7136,-66.9764,78.84,73,100,1.92
250,Liverpool,GB,1622604047,53.4106,-2.9779,59.65,71,87,5.01
251,Rio Grande,BR,1622603786,-32.035,-52.0986,58.68,71,100,6.38
252,Saint Anthony,US,1622604048,45.0205,-93.218,68.32,59,1,3.2
253,Alice Springs,AU,1622604049,-23.7,133.8833,69.35,40,40,9.86
254,Half Moon Bay,US,1622604049,37.4636,-122.4286,73.08,82,90,3.44
255,Anadyr,RU,1622604050,64.75,177.4833,37.9,64,0,15.01
256,Carupano,VE,1622604050,10.6678,-63.2585,75.6,86,63,9.15
257,Alofi,NU,1622604051,-19.0595,-169.9187,71.49,26,90,6.91
258,Barcelona,ES,1622603950,41.3888,2.159,66.54,89,20,4.0
259,Tānsen,NP,1622604052,27.8673,83.5467,75.06,63,1,2.15
260,Sydney,AU,1622603966,-33.8679,151.2073,71.37,54,0,1.01
261,Shingū,JP,1622604052,33.7333,135.9833,77.99,81,100,6.76
262,Jalu,LY,1622604053,29.0331,21.5482,73.09,48,0,10.31
263,Gbarnga,LR,1622604054,6.9956,-9.4722,71.02,99,100,1.63
264,Rafaela,AR,1622604055,-31.2503,-61.4867,56.98,67,19,7.14
265,La Asuncion,VE,1622604055,11.0333,-63.8628,78.53,83,31,11.99
266,Québec,CA,1622603811,46.8123,-71.2145,59.49,94,20,3.0
267,Kavieng,PG,1622604056,-2.5744,150.7967,79.68,88,100,12.62
268,Mandalgovi,MN,1622604057,45.7625,106.2708,37.27,91,100,20.15
269,Xinzhou,CN,1622604057,38.4092,112.7333,83.14,19,100,15.3
270,Ucluelet,CA,1622604046,48.9329,-125.5528,81.09,84,16,10.27
271,Dunn,US,1622604059,44.95,-91.8835,63.34,72,1,0.0
272,Kupang,ID,1622604060,-10.1667,123.5833,90.18,51,40,9.22
273,Emerald,AU,1622604060,-23.5333,148.1667,77.14,50,90,10.36
274,Kingman,US,1622604061,35.1894,-114.053,94.48,8,1,6.55
275,Olavarría,AR,1622604061,-36.8927,-60.3225,50.09,96,36,6.96
