,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
276,Mahon,ES,1622604062,39.8885,4.2658,64.96,88,0,5.75
277,Malpe,IN,1622604062,13.35,74.7167,83.5,80,100,8.43
278,Hofn,IS,1622604063,64.2539,-15.2082,45.54,83,95,13.58
279,Bandar-e Lengeh,IR,1622604064,26.5579,54.8807,84.31,94,40,0.0
280,Zeya,RU,1622604064,53.75,127.2667,70.57,45,23,5.21
281,Puerto del Rosario,ES,1622604065,28.5004,-13.8627,65.95,72,1,9.22
282,Prado,BR,1622604065,-17.3411,-39.2208,72.19,85,100,4.23
283,Pemangkat,ID,1622604066,1.1667,108.9667,86.47,66,24,4.41
284,Cockburn Town,TC,1622604066,21.4612,-71.1419,79.72,82,41,22.12
285,Hasaki,JP,1622604067,35.7333,140.8333,80.19,70,100,10.69
286,Puerto Carreño,CO,1622604067,6.189,-67.4859,73.2,94,99,1.41
287,Jinka,ET,1622604068,5.65,36.65,61.56,80,74,4.18
288,Suclayin,PH,1622604068,15.7568,121.5503,85.5,76,100,8.61
289,Jadu,LY,1622604069,31.953,12.0261,72.82,36,85,32.39
290,Toora-Khem,RU,1622604069,52.4675,96.11,61.36,38,0,4.12
291,Vehari,PK,1622604070,30.0333,72.35,91.17,33,1,12.91
292,Baoqing,CN,1622604070,46.3317,132.2111,70.68,36,94,8.16
293,Cap Malheureux,MU,1622604071,-19.9842,57.6142,76.46,73,22,5.99
294,Isangel,VU,1622604071,-19.55,169.2667,75.31,69,75,13.71
295,La Macarena,CO,1622604072,2.1837,-73.7849,71.24,99,52,2.37
296,Monticello,US,1622604072,45.3055,-93.7941,68.34,62,1,6.26
297,Kosa,RU,1622604074,59.9445,54.9977,45.48,53,29,7.49
298,Pasinler,TR,1622604074,39.9803,41.6764,49.19,60,9,3.83
299,Labis,MY,1622604075,2.385,103.021,87.76,63,57,4.18
300,Bucerías,MX,1622603908,20.75,-105.3333,83.98,78,75,2.37
301,Notsé,TG,1622604077,6.95,1.1667,74.23,93,100,3.96
302,Ufa,RU,1622604078,54.775,56.0375,61.97,97,100,3.42
303,Ranong,TH,1622604078,9.9658,98.6348,89.53,69,95,3.51
304,Caucayá,CO,1622604079,-0.1934,-74.7819,72.73,93,99,1.99
305,Leer,SS,1622604079,8.3018,30.1418,72.54,79,100,10.0
306,San Cristobal,VE,1622604080,7.7669,-72.225,65.62,95,100,2.33
307,Ternate,ID,1622604080,0.8,127.4,84.58,69,42,5.35
308,Touros,BR,1622603984,-5.1989,-35.4608,74.3,85,0,10.18
309,Leshukonskoye,RU,1622604081,64.8989,45.7622,43.03,57,52,7.34
310,Zhigansk,RU,1622604081,66.7697,123.3711,53.82,77,100,2.39
311,Bathsheba,BB,1622604082,13.2167,-59.5167,79.41,65,40,13.65
312,Sabha,LY,1622604082,27.0377,14.4283,82.54,21,94,14.0
313,Ahipara,NZ,1622604083,-35.1667,173.1667,61.12,68,90,10.78
314,Turukhansk,RU,1622604083,65.8167,87.9833,44.62,61,9,5.82
315,Bolivar,US,1622604084,37.6145,-93.4105,60.96,96,100,3.0
316,Lodwar,KE,1622604084,3.1191,35.5973,77.36,56,95,11.23
317,Naze,JP,1622604085,28.3667,129.4833,79.72,82,81,15.5
318,Sturgeon Bay,US,1622604085,44.8342,-87.377,62.96,67,90,8.05
319,Tautira,PF,1622604086,-17.7333,-149.15,84.0,64,86,10.85
320,Mount Isa,AU,1622603951,-20.7333,139.5,85.77,30,16,12.66
321,Anchorage,US,1622604087,61.2181,-149.9003,59.68,49,75,3.0
322,Aloleng,PH,1622604087,16.1307,119.7824,90.5,60,54,4.68
323,Namatanai,PG,1622604088,-3.6667,152.4333,80.94,82,98,5.91
324,Port Augusta,AU,1622604088,-32.5,137.7667,71.74,45,4,12.3
325,Along,IN,1622604089,28.1667,94.7667,79.18,85,94,0.96
326,Port Blair,IN,1622604089,11.6667,92.75,85.32,70,2,3.11
327,Tiksi,RU,1622604083,71.6872,128.8694,37.31,83,100,4.52
328,Siocon,PH,1622604090,7.7061,122.1353,84.25,73,100,6.42
329,Kaya,BF,1622604091,13.0917,-1.0844,86.52,50,42,17.96
330,Phalaborwa,ZA,1622604091,-23.943,31.1411,57.18,88,96,8.3
331,Oodweyne,SO,1622604092,9.4092,45.064,70.83,69,13,15.66
332,Mwene-Ditu,CD,1622604092,-7.0,23.45,63.54,48,64,4.72
333,Sosnovo-Ozerskoye,RU,1622604093,52.5249,111.5418,58.82,60,100,14.32
334,Dhidhdhoo,MV,1622604093,6.8833,73.1,83.08,66,86,13.2
335,Samarkand,UZ,1622604094,39.6542,66.9597,83.62,26,3,11.5
336,Ouallam,NE,1622604094,14.3188,2.0866,87.67,32,1,12.95
337,Puerto Madryn,AR,1622604095,-42.7692,-65.0385,43.39,71,1,18.41
338,Wenling,CN,1622604095,28.3669,121.36,79.92,95,100,6.11
339,Tommot,RU,1622604096,58.9564,126.2925,55.09,75,95,4.9
340,Longyearbyen,SJ,1622604096,78.2186,15.6401,33.64,93,90,2.3
341,Bima,ID,1622604097,-8.4667,118.7167,89.76,56,45,2.46
342,Msowero,TZ,1622604098,-6.5333,37.2,67.01,96,99,1.66
343,Iracoubo,GF,1622604100,5.4802,-53.2011,76.87,88,99,5.39
344,Vila,PT,1622604100,42.0304,-8.1588,48.74,91,75,3.44
345,Yagodnoye,RU,1622604101,62.55,149.6667,51.21,45,97,6.11
346,Rovaniemi,FI,1622604082,66.5,25.7167,56.61,62,0,4.61
347,Ferkessédougou,CI,1622604102,9.6,-5.2,74.37,87,100,5.14
348,Coquimbo,CL,1622604085,-29.9533,-71.3436,53.33,100,20,4.45
349,Sioux Lookout,CA,1622604102,50.1001,-91.917,68.38,42,90,4.61
350,Gonbad-e Kāvūs,IR,1622604103,37.25,55.1672,77.95,31,0,4.65
351,San,ML,1622604104,13.3034,-4.8956,86.13,48,100,13.85
352,Serenje,ZM,1622604104,-13.2325,30.2352,53.87,94,94,6.55
353,General Roca,AR,1622604104,-39.0333,-67.5833,55.8,38,20,14.88
354,Vostok,RU,1622604086,46.4856,135.8833,63.34,47,78,9.06
355,Mīzan Teferī,ET,1622604105,6.9833,35.5833,59.74,90,60,3.78
356,Henties Bay,NA,1622604106,-22.116,14.2845,61.43,60,42,1.88
357,Coihueco,CL,1622604106,-36.6167,-71.8333,56.14,100,90,3.67
358,Kahului,US,1622604107,20.8947,-156.47,84.97,69,20,21.85
359,Torbay,CA,1622604105,47.6666,-52.7314,48.38,92,90,21.85
360,Inawayan,PH,1622604108,6.9608,125.4733,87.73,70,100,6.31
361,Langxiang,CN,1622604108,46.95,128.8833,68.29,29,99,9.71
362,Dongsheng,CN,1622604109,39.8161,109.9776,57.33,25,2,19.3
363,Harper,LR,1622604109,4.375,-7.7169,78.64,84,73,6.4
364,Sinnamary,GF,1622604110,5.3833,-52.95,76.82,87,100,4.74
365,College,US,1622603958,64.8569,-147.8028,62.92,63,75,13.8
366,Narsaq,GL,1622604107,60.9167,-46.05,39.42,75,33,0.76
367,Gunupur,IN,1622604111,19.0833,83.8167,91.81,63,15,2.37
368,Curup,ID,1622604111,-3.4667,102.5333,82.6,57,99,2.53
369,El Tigre,VE,1622604111,8.8875,-64.2454,77.54,68,65,11.21
370,Devonport,AU,1622604112,-41.1667,146.35,58.08,76,92,2.3
371,Bengkulu,ID,1622604110,-3.8004,102.2655,84.47,66,94,0.87
372,Tsuruoka,JP,1622604113,38.7217,139.8217,78.01,77,20,8.16
373,Tual,ID,1622604109,-5.6667,132.75,81.86,80,21,17.02
374,Leningradskiy,RU,1622604114,69.3833,178.4167,31.82,83,21,15.73
375,Banda Aceh,ID,1622603933,5.5577,95.3222,84.22,72,100,7.0
376,Huanren,CN,1622604089,41.2647,125.3667,68.09,73,100,8.68
377,Ballina,AU,1622604115,-28.8667,153.5667,71.78,58,100,6.91
378,Grand Gaube,MU,1622604115,-20.0064,57.6608,76.37,73,25,5.99
379,Bonavista,CA,1622604116,48.6499,-53.1147,48.2,83,100,16.69
380,Švenčionėliai,LT,1622604116,55.1667,26.0,48.18,81,5,5.12
381,Toronto,CA,1622603708,43.7001,-79.4163,65.32,60,3,1.01
382,Balkanabat,TM,1622604117,39.5108,54.3671,84.42,32,0,0.94
383,Dundalk,US,1622604088,39.2507,-76.5205,68.38,76,75,1.01
384,Bilibino,RU,1622604118,68.0546,166.4372,68.02,27,9,3.91
385,Yartsevo,RU,1622604119,55.0667,32.6964,43.79,77,10,5.44
386,Ekimchan,RU,1622604119,53.0667,132.9667,72.84,31,59,1.23
387,Fauske,NO,1622604120,67.2588,15.3918,60.94,58,11,8.01
388,Mirador,BR,1622604120,-6.3708,-44.3631,72.86,74,0,3.22
389,Dingle,PH,1622604121,10.9995,122.6711,78.17,87,100,16.75
390,Xinyu,CN,1622604121,27.8043,114.9334,83.7,81,69,0.67
391,Prince George,CA,1622604052,53.9166,-122.753,73.29,56,1,2.3
392,Zyryanka,RU,1622604123,65.75,150.85,63.84,27,67,9.55
393,Los Llanos de Aridane,ES,1622604085,28.6585,-17.9182,64.15,89,75,4.61
394,Nabire,ID,1622604091,-3.3667,135.4833,81.81,83,99,3.15
395,Fort Smith,US,1622604124,35.3859,-94.3986,66.24,95,90,0.0
396,Barrhead,GB,1622604125,55.7992,-4.3929,53.13,89,89,4.0
397,Cassilândia,BR,1622603946,-19.1133,-51.7342,66.54,72,43,2.91
398,Sivas Province,TR,1622604126,39.7916,37.0019,47.03,100,40,4.61
399,Bafatá,GW,1622604126,12.1667,-14.75,76.15,77,93,3.6
400,Holetown,BB,1622604127,13.1867,-59.6381,79.36,76,79,14.52
401,Gushikawa,JP,1622604127,26.3544,127.8686,83.79,79,90,11.07
402,São Lourenço do Sul,BR,1622604128,-31.3653,-51.9783,57.47,68,94,2.91
403,Kosh-Agach,RU,1622604124,50.0,88.6667,63.3,25,54,3.09
404,Fakel,RU,1622604129,57.6325,53.0252,50.72,55,84,6.58
405,Nador,MA,1622604129,35.174,-2.9287,62.85,72,0,1.59
406,Mackay,AU,1622604130,-21.15,149.2,75.04,83,50,14.97
407,San Ramon,US,1622604130,37.7799,-121.978,75.38,69,1,7.0
408,Meulaboh,ID,1622604081,4.1363,96.1285,82.22,81,100,2.89
409,Ayan,RU,1622604131,56.45,138.1667,37.96,93,100,12.12
410,Chifeng,CN,1622604132,42.2683,118.9636,71.58,33,54,18.34
411,Bubaque,GW,1622603891,11.2833,-15.8333,78.66,83,58,11.03
412,Nishihara,JP,1622604132,26.1842,127.7558,83.86,74,75,10.4
413,Turinskaya Sloboda,RU,1622604133,57.6232,64.3858,55.36,53,80,3.24
414,Abu Kamal,SY,1622604133,34.4506,40.9171,74.91,37,0,10.18
415,Abong Mbang,CM,1622604134,3.9833,13.1833,65.77,98,100,3.24
416,Guozhen,CN,1622604134,34.3659,107.359,87.13,40,76,4.36
417,Maracaçumé,BR,1622604135,-2.0428,-45.9592,71.87,97,6,2.66
418,Waipawa,NZ,1622604135,-41.4122,175.5153,57.04,68,93,4.07
419,Uryupinsk,RU,1622604136,50.8047,42.0138,55.72,83,100,12.35
420,Mizur,RU,1622604136,42.8531,44.0531,57.0,76,1,6.08
421,Slave Lake,CA,1622604137,55.2834,-114.769,73.38,46,40,6.91
422,Ust'-Karsk,RU,1622604137,52.7011,118.8077,64.58,63,99,6.11
423,Lálas,GR,1622604138,37.7167,21.7167,47.8,85,78,5.1
424,Mahibadhoo,MV,1622604139,3.7833,72.9667,83.57,64,74,14.0
425,Kavaratti,IN,1622603955,10.5669,72.642,83.79,75,90,13.13
426,Naryan-Mar,RU,1622604119,67.6713,53.087,37.67,62,99,21.68
427,Bandarbeyla,SO,1622604140,9.4942,50.8122,79.52,76,100,22.64
428,Korla,CN,1622604140,41.7597,86.1469,84.54,20,3,8.75
429,Kentau,KZ,1622604141,43.5206,68.5094,84.4,26,82,1.7
430,Smithers,CA,1622604141,54.7804,-127.1743,61.12,94,90,4.61
431,Lalibela,ET,1622604142,12.0333,39.0333,59.92,34,56,6.6
432,Gandajika,CD,1622604142,-6.75,23.95,66.56,49,55,3.58
433,Bitung,ID,1622604143,1.4451,125.1824,92.25,69,14,12.95
434,Verāval,IN,1622604143,20.9,70.3667,84.25,71,29,10.42
435,Chernyshevskiy,RU,1622604144,63.0128,112.4714,76.17,33,69,6.78
436,Copiapó,CL,1622604144,-27.3667,-70.3333,53.29,50,0,2.86
437,Kipushi,CD,1622604145,-11.7667,27.2333,53.22,76,5,3.65
438,Lázaro Cárdenas,MX,1622604145,17.9583,-102.2,82.24,79,100,5.1
439,Lokachi,UA,1622604146,50.737,24.6494,49.75,86,99,7.29
440,Salalah,OM,1622604146,17.0151,54.0924,82.49,83,40,3.44
441,Kutum,SD,1622604135,14.2,24.6667,85.64,16,100,13.22
442,Uthal,PK,1622604147,25.8072,66.6219,84.83,73,16,3.15
443,Ilebo,CD,1622604148,-4.3167,20.5833,67.14,54,100,1.74
444,Quatre Cocos,MU,1622604094,-20.2078,57.7625,76.08,73,56,13.89
445,Porto-Novo,BJ,1622604144,6.4965,2.6036,78.62,87,100,3.62
446,Asău,RO,1622604149,46.4333,26.4,49.95,84,100,5.82
447,Vidim,RU,1622604150,56.4088,103.1106,74.25,28,16,4.59
448,Mozarlândia,BR,1622604150,-14.7447,-50.5706,72.37,41,3,1.21
449,Freeport,US,1622603854,40.6576,-73.5832,68.02,77,1,5.01
450,San Patricio,US,1622604099,28.017,-97.5169,78.84,82,52,5.37
451,Bereda,ES,1622604151,43.2686,-7.5406,53.91,99,60,1.39
452,Challakere,IN,1622604152,14.3167,76.65,79.83,67,100,9.13
453,Benguela,AO,1622604152,-12.5763,13.4055,70.75,84,54,3.33
454,Shache,CN,1622604153,38.4167,77.2406,79.59,24,100,3.06
455,Manzhouli,CN,1622604153,49.6,117.4333,58.26,29,7,6.33
456,Mian Channu,PK,1622604154,30.44,72.3543,90.84,33,2,13.65
457,Belmonte,BR,1622604137,-15.8631,-38.8828,72.1,86,100,2.55
458,San Policarpo,PH,1622604155,12.1791,125.5072,85.87,70,100,13.49
459,Sittwe,MM,1622604155,20.15,92.9,85.71,71,75,4.45
460,Pandamatenga,BW,1622604156,-18.5278,25.627,51.87,44,0,6.89
461,La Orilla,MX,1622604156,17.9833,-102.2333,81.86,79,100,5.17
462,Westport,US,1622604157,41.1415,-73.3579,65.75,77,1,1.01
463,Ostrovnoy,RU,1622604095,68.0531,39.5131,45.27,93,100,20.24
464,Atar,MR,1622604147,20.5169,-13.0499,89.1,31,68,6.69
465,Altar,MX,1622604158,30.7,-111.8167,82.6,21,99,10.76
466,Hamilton,US,1622604038,39.1834,-84.5333,66.97,87,90,2.64
467,Ambon City,ID,1622604158,-3.6954,128.1814,87.94,66,40,14.14
468,Bayan,CN,1622604159,46.0833,127.4,68.72,40,98,8.77
469,Marabu,MY,1622604159,4.4148,114.0089,89.74,58,40,3.74
470,Wanning,CN,1622604160,18.8003,110.3967,90.52,67,100,13.42
471,Fort Frances,CA,1622604025,48.5999,-93.4003,57.16,58,1,0.0
472,Kendari,ID,1622604161,-3.945,122.4989,85.89,63,85,3.76
473,Basco,PH,1622604161,20.4487,121.9702,84.61,80,65,12.64
474,Ekhabi,RU,1622604163,53.5102,142.9671,62.64,56,92,5.19
475,Quelimane,MZ,1622604163,-17.8786,36.8883,69.89,82,94,4.07
476,Taitung City,TW,1622604164,22.7583,121.1444,88.07,74,75,9.22
477,Bad Liebenwerda,DE,1622604164,51.5167,13.4,57.96,96,35,4.41
478,Mokhsogollokh,RU,1622604165,61.4681,128.9203,69.93,30,3,2.68
479,Kapuskasing,CA,1622604098,49.4169,-82.4331,59.09,82,75,1.14
480,Athabasca,CA,1622604166,54.7169,-113.2854,74.89,67,67,3.15
481,Kieta,PG,1622604103,-6.2167,155.6333,84.22,74,61,6.33
482,Santa Maria,BR,1622604138,-29.6842,-53.8069,54.7,88,0,2.15
483,Menongue,AO,1622604167,-14.6585,17.691,48.9,46,100,3.56
484,Mehamn,NO,1622604167,71.0357,27.8492,48.15,81,0,6.91
485,Deputatsky,RU,1622604164,69.3,139.9,63.63,30,69,10.2
486,Siyabuswa,ZA,1622604168,-25.1132,29.0445,43.21,52,0,5.17
487,Gemeente Wageningen,NL,1622604169,51.9667,5.6667,61.09,81,90,6.67
488,Naples,IT,1622604080,40.8333,14.25,64.78,60,0,1.01
489,Airai,TL,1622604084,-8.9266,125.4092,75.31,46,13,3.04
490,Galveston,US,1622603915,29.3669,-94.9669,80.01,86,100,7.29
491,Doha,QA,1622604170,25.2867,51.5333,94.98,36,0,11.5
492,Vieques,PR,1622604171,18.425,-65.8329,80.64,83,40,12.35
493,Souris,CA,1622604059,49.6172,-100.2612,66.06,75,95,4.99
494,Price,US,1622604172,39.5994,-110.8107,76.26,13,1,10.36
495,Pangai,TO,1622604172,-19.8,-174.35,71.71,94,90,0.0
496,Yatou,CN,1622604172,37.15,122.3833,72.73,65,71,20.96
497,Palmer,US,1622603916,42.1584,-72.3287,63.21,79,20,3.71
498,Constitución,CL,1622604056,-35.3333,-72.4167,58.51,98,100,4.14
499,Barra de Tecoanapa,MX,1622604173,16.5167,-98.75,82.74,77,49,6.08
500,Talcahuano,CL,1622604174,-36.7167,-73.1167,56.88,100,90,6.91
501,Chu,KZ,1622604174,43.5983,73.7614,82.96,29,29,12.41
502,Ancud,CL,1622604113,-41.8697,-73.8203,45.43,77,100,1.43
503,Great Yarmouth,GB,1622604176,52.6083,1.7305,53.94,95,6,13.85
504,Andros Town,BS,1622604178,24.7,-77.7667,75.16,80,100,14.43
505,Belyy Yar,RU,1622604178,53.6039,91.3903,66.09,34,0,5.7
506,Fuling,CN,1622604179,29.7022,107.3919,78.58,66,93,2.89
507,Joshīmath,IN,1622604180,30.5667,79.5667,67.86,57,26,4.09
508,Kikwit,CD,1622604180,-5.041,18.8162,67.68,52,57,1.86
509,Shīeli,KZ,1622604181,44.1667,66.75,88.14,28,0,9.64
510,Omboué,GA,1622604181,-1.5746,9.2618,75.09,86,89,4.72
511,Batangafo,CF,1622604182,7.3008,18.2833,72.12,93,100,5.5
512,Honiara,SB,1622604109,-9.4333,159.95,85.62,71,86,7.0
513,Uşak Province,TR,1622604183,38.5,29.4167,46.38,81,51,5.88
514,Jieshi,CN,1622604183,22.8134,115.8257,82.87,83,99,12.57
515,Gainesville,US,1622604184,29.6516,-82.3248,74.91,73,1,4.61
516,Athens,GR,1622603669,37.9795,23.7162,64.18,60,20,1.01
517,Phan Thiet,VN,1622604061,10.9333,108.1,90.03,62,91,7.76
518,Vurnary,RU,1622604185,55.4904,46.9648,50.18,75,100,7.07
519,São Filipe,CV,1622604186,14.8961,-24.4956,73.11,82,100,8.88
520,Nouakchott,MR,1622604071,18.0858,-15.9785,69.73,80,77,14.2
521,Lyngdal,NO,1622604186,58.1376,7.07,56.89,65,6,13.73
522,Marand,IR,1622604187,38.4329,45.7749,66.54,33,0,4.7
523,Umluj,SA,1622604137,25.0213,37.2685,84.2,71,9,8.99
524,Maun,BW,1622604188,-19.9833,23.4167,51.76,37,0,4.61
525,Guerrero Negro,MX,1622604130,27.9769,-114.0611,62.15,84,0,13.73
526,Baruun-Urt,MN,1622604188,46.6806,113.2792,50.23,32,100,8.7
527,Ketchikan,US,1622604140,55.3422,-131.6461,55.87,100,90,9.22
528,Ninotsminda,GE,1622604189,41.2646,43.5916,50.45,58,0,11.52
529,Tres Arroyos,AR,1622604191,-38.3739,-60.2798,49.91,67,65,7.81
530,Makakilo City,US,1622604191,21.3469,-158.0858,86.32,58,90,8.05
531,St. George's,GD,1622604192,12.0564,-61.7485,78.55,69,96,10.71
532,Kokoda,PG,1622604192,-8.8785,147.7407,80.47,82,100,4.83
533,Evensk,RU,1622604192,61.95,159.2333,52.41,56,100,9.71
534,San Javier,ES,1622604193,37.8063,-0.8374,68.13,85,90,4.61
535,Yeppoon,AU,1622604148,-23.1333,150.7333,71.38,79,71,9.8
536,Viranşehir,TR,1622604194,37.2353,39.7631,65.93,45,0,6.64
537,Salinópolis,BR,1622604195,-0.6136,-47.3561,77.92,87,2,8.77
538,Redlands,US,1622604195,34.0556,-117.1825,86.65,51,18,1.01
539,Bowen,AU,1622604101,-20.0167,148.2333,79.02,59,7,11.48
540,Myatlevo,RU,1622604196,54.8969,35.6762,49.95,78,6,5.99
541,Liyang,CN,1622604196,29.7057,118.2862,74.62,88,100,0.4
542,Sidi Ali,DZ,1622604197,36.0998,0.4206,65.03,72,43,5.08
543,Carutapera,BR,1622604197,-1.195,-46.02,74.77,95,6,4.63
544,Dauphin,CA,1622604198,51.1494,-100.0502,60.94,59,1,8.05
545,Piastów,PL,1622604198,52.1843,20.8395,55.22,76,0,4.61
546,Mattru,SL,1622604199,7.6244,-11.8332,73.8,92,88,0.67
547,Karlskrona,SE,1622604199,56.1616,15.5866,50.45,96,38,11.23
548,Ambalavao,MG,1622604200,-21.8333,46.9333,61.21,91,99,3.58
549,La Rioja,ES,1622604201,42.25,-2.5,53.49,88,8,3.62
550,Province of Mantua,IT,1622604201,45.1667,10.7833,63.09,73,58,1.01
551,Hof,DE,1622604202,50.3167,11.9167,51.28,65,98,1.01
552,Inta,RU,1622604203,66.0317,60.1659,33.53,97,100,21.5
553,Fort Nelson,CA,1622604203,58.8053,-122.7002,78.39,21,75,10.36
